acteurs,budget,compositeur,date,duree,entrees_premiere_semaine,franchise,genre,pays,producteur,realisateur,remake,salles_premiere_semaine,studio,titre,url
"
                            Jude Law,
                            Mads Mikkelsen,
                            Eddie Redmayne",,James Newton Howard,  13/04/2022,"
                                  2h 23min                            ",1132062,,Fantasy,Etats-Unis,,"
                                    David Yates",,806,"
                Warner Bros.","
                            Les Animaux Fantastiques 3 : Les Secrets de Dumbledore",https://www.jpbox-office.com/fichfilm.php?id=21413&view=2
,90 000 000 $,,  14/08/2019,"
                                  2h 39min                            ",1132221,,Thriller,Etats-Unis,,"
                                    Quentin Tarantino",,683,"
                Sony Pictures","
                            Once Upon a Time in Hollywood",https://www.jpbox-office.com/fichfilm.php?id=18224&view=2
"
                            Jude Law,
                            Mads Mikkelsen,
                            Eddie Redmayne",200 000 000 $,James Newton Howard,  13/04/2022,"
                                  2h 23min                            ",1132062,,Fantasy,Etats-Unis,,"
                                    David Yates",,806,"
                Warner Bros.","
                            Les Animaux Fantastiques 3 : Les Secrets de Dumbledore",https://www.jpbox-office.com/fichfilm.php?id=21413&view=2
"
                            Dwayne Johnson",,,  30/11/2016,"
                                  1h 43min                            ",1073991,,Animation,Etats-Unis,,"
                                    Ron Clements",,727,"
                Walt Disney Pictures","
                            Vaiana, la légende du bout du monde",https://www.jpbox-office.com/fichfilm.php?id=15636&view=2
,12 014 679 €,,  29/02/2012,"
                                  1h 45min                            ",1082028,,Comédie,France,,"
                                    Michel Hazanavicius",,501,"
                Mars Distribution","
                            Les Infidèles",https://www.jpbox-office.com/fichfilm.php?id=12528&view=2
,125 000 000 $,,  16/09/1998,"
                                  2h 20min                            ",1127486,,Aventure - Action,Etats-Unis,,"
                                    Roland Emmerich",Remake,659,"
                Columbia","
                            Godzilla",https://www.jpbox-office.com/fichfilm.php?id=3051&view=2
"
                            Dwayne Johnson",150 000 000 $,,  30/11/2016,"
                                  1h 43min                            ",1073991,,Animation,Etats-Unis,,"
                                    Ron Clements",,727,"
                Walt Disney Pictures","
                            Vaiana, la légende du bout du monde",https://www.jpbox-office.com/fichfilm.php?id=15636&view=2
,92 000 000 $,,  21/08/1996,"
                                  1h 53min                            ",1078707,,Catastrophe,Etats-Unis,,"
                                    Jan De Bont",,509,"
                UIP","
                            Twister",https://www.jpbox-office.com/fichfilm.php?id=3667&view=2
,3 999 990 €,,  07/04/2004,"
                                  1h 49min                            ",1083231,,Aventure - Action,France,,"
                                    Jean-Jacques Annaud",,739,"
                Pathé","
                            Deux frères",https://www.jpbox-office.com/fichfilm.php?id=1050&view=2
"
                            Jean Dujardin,
                            Gilles Lellouche,
                            Guillaume Canet,
                            Sandrine Kiberlain,
                            Alexandra Lamy,
                            Géraldine Nakache,
                            Manu Payet",12 014 679 €,,  29/02/2012,"
                                  1h 45min                            ",1082028,,Comédie,France,,"
                                    Michel Hazanavicius",,501,"
                Mars Distribution","
                            Les Infidèles",https://www.jpbox-office.com/fichfilm.php?id=12528&view=2
"
                            Guy Pearce",3 999 990 €,,  07/04/2004,"
                                  1h 49min                            ",1083231,,Aventure - Action,France,,"
                                    Jean-Jacques Annaud",,739,"
                Pathé","
                            Deux frères",https://www.jpbox-office.com/fichfilm.php?id=1050&view=2
"
                            Charles Berling,
                            Patrick Bruel",,,  25/04/2012,"
                                  1h 49min                            ",1086313,,Comédie,France,,,Remake,457,"
                Pathé","
                            Le Prénom",https://www.jpbox-office.com/fichfilm.php?id=12646&view=2
,58 800 000 $,,  18/02/2015,"
                                  2h 12min                            ",1083056,,Guerre,Etats-Unis,,"
                                    Clint Eastwood",,411,"
                Warner Bros.","
                            American Sniper",https://www.jpbox-office.com/fichfilm.php?id=14769&view=2
"
                            Charles Berling,
                            Patrick Bruel",11 029 596 €,,  25/04/2012,"
                                  1h 49min                            ",1086313,,Comédie,France,,,Remake,457,"
                Pathé","
                            Le Prénom",https://www.jpbox-office.com/fichfilm.php?id=12646&view=2
